Model,Train MAE,Train RMSE,Train R2,Test MAE,Test RMSE,Test R2,Test MAPE,Time(s),Overfit?,R2 Gap
AR,1.9054,2.4203,0.6327,3.2447,3.9552,0.0704,42.8271,0.04,Yes,0.5623
MA,2.081,2.6654,0.5642,3.3894,4.111,-0.0043,42.5991,0.72,Yes,0.5685
ARMA,1.9147,2.4334,0.6368,3.3091,4.0219,0.0387,45.5433,2.49,Yes,0.5981
ARIMA,1.9295,2.4628,0.6279,4.2984,5.2523,-0.6394,63.8411,0.34,Yes,1.2673
SARIMA,1.972,2.5192,0.6107,4.0519,4.9773,-0.4722,60.4025,4.47,Yes,1.0829
Holt-Winters,1.9849,2.5141,0.6123,48.1421,54.6359,-176.3918,497.8086,0.56,Yes,177.0041
Linear Regression,1.8624,2.3491,0.6655,1.7211,2.1822,0.6828,21.9511,0.01,No,-0.0173
Random Forest,0.8367,1.0673,0.931,1.7043,2.172,0.6858,21.2637,0.92,Yes,0.2452
XGBoost,0.3473,0.4471,0.9879,1.7816,2.2605,0.6597,22.4298,0.91,Yes,0.3282
LightGBM,0.6074,0.7755,0.9636,1.7948,2.2741,0.6555,22.4109,0.36,Yes,0.3081
SVR,1.2817,1.8914,0.7832,1.9737,2.5206,0.5768,26.6065,0.82,Yes,0.2064
Prophet,2.16,2.7201,0.5462,2.4822,3.0376,0.4517,33.8419,0.92,No,0.0945
RNN,1.9148,2.4296,0.6303,1.7507,2.2251,0.7051,20.708,-,No,-0.0748
LSTM,2.3,2.9114,0.4691,2.0858,2.7069,0.5636,27.7821,-,No,-0.0945
GRU,1.9245,2.4514,0.6236,1.7528,2.2369,0.702,21.5109,-,No,-0.0784
Transformer,2.3057,2.949,0.4553,2.1795,2.8165,0.5275,28.7039,-,No,-0.0722
TFT,3.2968,4.0788,-0.042,3.2869,4.0093,0.0426,47.1491,-,No,-0.0846
N-BEATS,2.0157,2.5511,0.5924,1.963,2.4733,0.6357,21.025,-,No,-0.0433
N-BEATS,1.9265,2.4441,0.6259,1.879,2.3656,0.6667,20.6677,-,No,-0.0408
